title,price,rating,reviews,availability
"Classroom Headphones-Bulk 10-Pack, Student On Ear Comfy Swivel Earphones for Library, School, Airplane, Kids-for Online Learning and Travel, HQ Stereo Sound 3.5mm Jack (Mixed Colors)",,4.0 out of 5 stars,36 ratings,In Stock
"Classroom Headphones Bulk 5 Pack, Student On Ear Color Varieties, Comfy Swivel Earphones for Library, School, Airplane, Kids, for Online Learning and Travel, Noise Stereo Sound 3.5mm Jack (Black)",,4.6 out of 5 stars,"2,723",
JBL Tune 510BT: Wireless On-Ear Headphones with Purebass Sound - Black,,4.5 out of 5 stars,"55,642",In Stock
"Sony ZX Series Wired On-Ear Headphones, White MDR-ZX110",,4.5 out of 5 stars,"99,550 ratings",In Stock
"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume",,4.6 out of 5 stars,"282,067 ratings",In Stock
"Bluetooth Headphones, Premium Active Noise Cancelling Wireless Headphones Over Ear, 50H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups for Travel, Home Office",,4.1 out of 5 stars,"1,358",In Stock
Raycon The Everyday Bluetooth Wireless Earbuds with Microphone- Stereo Sound in-Ear Bluetooth Headset True Wireless Earbuds 32 Hours Playtime (Matte Black),,4.4 out of 5 stars,"29,212 ratings",In Stock
Wireless Bluetooth Headphones Over Ear 65H Playtime HiFi Stereo Headset with Microphone and 6EQ Modes Foldable Bluetooth V5.3 Headphones for Travel Smartphone Computer Laptop,,4.6 out of 5 stars,"5,276 ratings",In Stock
"Raycon Fitness Headphones - Wireless Over-Ear-Headphones with 45 Hours of Battery, Active Noise Cancellation, Awareness Mode, 3 Quick Swap Ear Cushions, IPX4 Water Resistance (White)",,4.1 out of 5 stars,314 ratings,In Stock
TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,,4.3 out of 5 stars,"363,408",In Stock
"noot products Kids Headphones with Microphone K12 Stereo 5ft Long Cord with 85dB/94dB Volume Limit Wired On-Ear Headset for iPad/Amazon Kindle,Fire/Toddler/Boys/Girls/School(Blue/Lime)",,4.7 out of 5 stars,"5,506 ratings",In Stock
"Amazon Basics Bluetooth Wireless On Ear Headphones with Microphone, 35 Hour Playtime, Foldable, Black",,4.3 out of 5 stars,85 ratings,In Stock
"Panasonic ErgoFit Wired Earbuds, In-Ear Headphones with Dynamic Crystal-Clear Sound and Ergonomic Custom-Fit Earpieces (S/M/L), 3.5mm Jack for Phones and Laptops, No Mic - RP-HJE120-K (Black)",,4.3 out of 5 stars,"138,847 ratings",In Stock
"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headset, Deep Bass for Home Office Cellphone PC Ect.",,4.5 out of 5 stars,"23,348",In Stock
"Wired Earbuds with Microphone 5 Pack, in-Ear Headphones with Heavy Bass, High Sound Quality Earphones Compatible with iPad, Laptop, MP3, Android Smartphones, Fits All 3.5mm Jack Device",,4.3 out of 5 stars,"3,770 ratings",In Stock
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Black",,4.5 out of 5 stars,"86,499 ratings",In Stock
"Kids Headphones Bulk 25 Pack Multi Color for Classroom School,Wholesale Durable Earphones Class Set of Headphones for Students Teens Children 10 Colors Mixed",,4.6 out of 5 stars,30 ratings,In Stock
TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black,,4.4 out of 5 stars,"263,686 ratings",In Stock
GNMN Bluetooth Headphones Wireless Earbuds Over Ear Buds 90H Playback IPX7 Waterproof Sports Earphones Deep Bass with Wireless Charging Case & Dual LED Power Display Earhooks Headset for Running Black,,4.9 out of 5 stars,346,In Stock
"Wired Earbuds with Microphone, Wired Earphones in Ear Headphones HiFi Stereo, Powerful Bass and Crystal Clear Audio, Compatible with iPhone, iPad, Android, Computer Most with 3.5mm Jack",,4.4 out of 5 stars,"6,000 ratings",In Stock
